userid,key,summary,agent1,agent2,selected,value,time,correct,betterAgent,worseAgent,comparisonType
98b3eaef,correct,max,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
ccf3ec93,correct,max,400,200,400,TRUE,1.50818E+12,1,400,200,1
c5a3ea5b,correct,maxdiv,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
adf3ecbe,correct,max,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
36e3e9b0,correct,maxdiv,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
49f3ea04,correct,max,200,400,400,TRUE,1.50818E+12,1,400,200,1
98b3eaef,correct,random,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
c5a3e9ad,correct,max,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
adf3ecbe,correct,random,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
36e3e9b0,correct,max,200,400,400,TRUE,1.50818E+12,1,400,200,1
ccf3ec93,correct,maxdiv,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
c5a3ea5b,correct,random,400,200,200,FALSE,1.50818E+12,0,400,200,1
98b3eaef,correct,max,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
27c3eced,correct,max,400,200,200,FALSE,1.50818E+12,0,400,200,1
a4e3ed86,correct,maxdiv,200,400,200,FALSE,1.50818E+12,0,400,200,1
a4e3ed86,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
8fd3ed6a,correct,random,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
36e3e9b0,correct,max,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
a4e3ed86,correct,maxdiv,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
adf3ecbe,correct,random,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
a4e3ed86,correct,max,400,200,400,TRUE,1.50818E+12,1,400,200,1
49f3ea04,correct,random,400,200,400,TRUE,1.50818E+12,1,400,200,1
a4e3ed86,correct,maxdiv,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
c5a3e9ad,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
a4e3ed86,correct,random,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
ccf3ec93,correct,maxdiv,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
a4e3ed86,correct,random,400,200,400,TRUE,1.50818E+12,1,400,200,1
27c3eced,correct,maxdiv,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
a4e3ed86,correct,max,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
a4e3ed86,correct,random,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
adf3ecbe,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
c5a3ea5b,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
ccf3ec93,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
8fd3ed6a,correct,maxdiv,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
adf3ecbe,correct,maxdiv,400,200,400,TRUE,1.50818E+12,1,400,200,1
84c3ee94,correct,random,400,200,200,FALSE,1.50818E+12,0,400,200,1
49f3ea04,correct,maxdiv,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
c5a3e9ad,correct,maxdiv,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
84c3ee94,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
27c3eced,correct,random,400,200,200,FALSE,1.50818E+12,0,400,200,1
adf3ecbe,correct,maxdiv,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
8fd3ed6a,correct,random,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
84c3ee94,correct,random,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
ccf3ec93,correct,random,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
49f3ea04,correct,random,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
c5a3ea5b,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
