userid,key,summary,agent1,agent2,selection,worstAgent,betterAgent,value,time,comparisonType
6bd3e974,confidence,random,400,200,200,200,400,2,1.50817E+12,1
c1a3e969,confidence,random,2000,200,2000,200,2000,7,1.50817E+12,3
c5a3ea5b,confidence,random,400,2000,400,400,2000,5,1.50817E+12,2
4dd3e872,confidence,max,200,400,400,200,400,6,1.50817E+12,1
98b3eaef,confidence,max,200,400,400,200,400,5,1.50817E+12,1
dfd3e9ba,confidence,random,2000,400,400,400,2000,4,1.50817E+12,2
3db3e922,confidence,max,400,2000,2000,400,2000,6,1.50817E+12,2
6bd3e974,confidence,random,2000,200,200,200,2000,3,1.50817E+12,3
6dd3e960,confidence,max,200,400,200,200,400,3,1.50817E+12,1
c1a3e969,confidence,maxdiv,200,400,400,200,400,3,1.50817E+12,1
49f3ea04,confidence,maxdiv,400,2000,2000,400,2000,6,1.50817E+12,2
c5a3e9ad,confidence,max,200,400,400,200,400,1,1.50817E+12,1
4dd3e872,confidence,maxdiv,200,400,400,200,400,7,1.50817E+12,1
dfd3e9ba,confidence,random,200,2000,2000,200,2000,4,1.50817E+12,3
6dd3e960,confidence,maxdiv,200,400,400,200,400,5,1.50817E+12,1
c1a3e969,confidence,max,200,2000,2000,200,2000,7,1.50817E+12,3
6bd3e974,confidence,maxdiv,400,2000,2000,400,2000,2,1.50817E+12,2
36e3e9b0,confidence,maxdiv,2000,400,2000,400,2000,7,1.50817E+12,2
3db3e922,confidence,random,200,400,200,200,400,5,1.50817E+12,1
98b3eaef,confidence,maxdiv,200,2000,2000,200,2000,7,1.50817E+12,3
c5a3ea5b,confidence,random,200,2000,2000,200,2000,5,1.50817E+12,3
4dd3e872,confidence,random,2000,400,2000,400,2000,5,1.50817E+12,2
6dd3e960,confidence,max,400,2000,2000,400,2000,5,1.50817E+12,2
c5a3e9ad,confidence,random,200,400,400,200,400,6,1.50817E+12,1
c1a3e969,confidence,max,200,400,400,200,400,4,1.50817E+12,1
36e3e9b0,confidence,random,200,2000,2000,200,2000,7,1.50817E+12,3
4dd3e872,confidence,max,2000,400,2000,400,2000,6,1.50817E+12,2
98b3eaef,confidence,random,200,2000,200,200,2000,4,1.50817E+12,3
3db3e922,confidence,max,400,200,400,200,400,4,1.50818E+12,1
49f3ea04,confidence,max,2000,200,2000,200,2000,7,1.50818E+12,3
6dd3e960,confidence,maxdiv,200,2000,2000,200,2000,7,1.50818E+12,3
98b3eaef,confidence,maxdiv,200,400,400,200,400,5,1.50818E+12,1
4dd3e872,confidence,random,400,200,200,200,400,6,1.50818E+12,1
c5a3ea5b,confidence,max,400,200,400,200,400,5,1.50818E+12,1
36e3e9b0,confidence,random,2000,400,400,400,2000,5,1.50818E+12,2
3db3e922,confidence,max,2000,200,2000,200,2000,6,1.50818E+12,3
6dd3e960,confidence,random,200,2000,2000,200,2000,5,1.50818E+12,3
98b3eaef,confidence,random,400,200,400,200,400,4,1.50818E+12,1
c5a3e9ad,confidence,random,200,2000,2000,200,2000,6,1.50818E+12,3
36e3e9b0,confidence,maxdiv,200,400,400,200,400,6,1.50818E+12,1
49f3ea04,confidence,max,2000,400,2000,400,2000,7,1.50818E+12,2
36e3e9b0,confidence,random,200,400,400,200,400,6,1.50818E+12,1
6dd3e960,confidence,max,2000,200,2000,200,2000,5,1.50818E+12,3
