userid,key,summary,agent1,agent2,selection,worstAgent,betterAgent,value,time,comparisonType
23ff9bbe,confidence,random,2000,200,200,200,2000,5,1.50894E+12,3
48cf9b18,confidence,random,200,2000,2000,200,2000,5,1.50894E+12,3
58cf9b86,confidence,random,2000,400,2000,400,2000,4,1.50894E+12,2
20df9ba1,confidence,maxdiv,200,2000,2000,200,2000,7,1.50894E+12,3
23ff9bbe,confidence,max,200,2000,2000,200,2000,6,1.50894E+12,3
48cf9b18,confidence,max,2000,200,2000,200,2000,5,1.50894E+12,3
3fef9c07,confidence,maxdiv,200,2000,2000,200,2000,6,1.50894E+12,3
58cf9b86,confidence,random,200,400,200,200,400,4,1.50894E+12,1
48cf9b18,confidence,max,400,200,400,200,400,4,1.50894E+12,1
23ff9bbe,confidence,random,200,400,200,200,400,5,1.50894E+12,1
58cf9b86,confidence,max,200,2000,2000,200,2000,4,1.50894E+12,3
9ccf9bfc,confidence,max,200,2000,200,200,2000,6,1.50894E+12,3
3fef9c07,confidence,maxdiv,200,400,400,200,400,5,1.50894E+12,1
20df9ba1,confidence,maxdiv,400,200,200,200,400,2,1.50894E+12,1
58cf9b86,confidence,max,200,400,400,200,400,4,1.50894E+12,1
23ff9bbe,confidence,max,200,400,400,200,400,7,1.50894E+12,1
48cf9b18,confidence,maxdiv,400,2000,2000,400,2000,6,1.50894E+12,2
3fef9c07,confidence,random,2000,200,200,200,2000,6,1.50894E+12,3
58cf9b86,confidence,maxdiv,2000,200,2000,200,2000,4,1.50894E+12,3
20df9ba1,confidence,random,400,2000,2000,400,2000,5,1.50894E+12,2
48cf9b18,confidence,max,400,2000,2000,400,2000,5,1.50894E+12,2
23ff9bbe,confidence,maxdiv,200,2000,2000,200,2000,7,1.50894E+12,3
58cf9b86,confidence,maxdiv,2000,400,2000,400,2000,4,1.50894E+12,2
9ccf9bfc,confidence,max,400,200,200,200,400,4,1.50894E+12,1
3fef9c07,confidence,maxdiv,2000,400,400,400,2000,5,1.50894E+12,2
20df9ba1,confidence,max,2000,400,2000,400,2000,7,1.50894E+12,2
23ff9bbe,confidence,maxdiv,400,200,400,200,400,,1.50894E+12,1
48cf9b18,confidence,random,400,2000,2000,400,2000,4,1.50894E+12,2
58cf9b86,confidence,random,200,2000,2000,200,2000,4,1.50894E+12,3
3fef9c07,confidence,random,200,400,200,200,400,5,1.50894E+12,1
9ccf9bfc,confidence,random,400,2000,2000,400,2000,6,1.50894E+12,2
23ff9bbe,confidence,random,2000,400,2000,400,2000,7,1.50894E+12,2
20df9ba1,confidence,max,200,400,200,200,400,1,1.50894E+12,1
3fef9c07,confidence,random,2000,400,2000,400,2000,5,1.50894E+12,2
20df9ba1,confidence,maxdiv,400,2000,2000,400,2000,7,1.50894E+12,2
3fef9c07,confidence,max,2000,400,2000,400,2000,5,1.50894E+12,2
23ff9bbe,confidence,max,2000,400,2000,400,2000,5,1.50894E+12,2
cbaf9d33,confidence,maxdiv,200,400,400,200,400,5,1.50894E+12,1
3fef9c07,confidence,max,2000,200,200,200,2000,5,1.50894E+12,3
9ccf9bfc,confidence,random,200,2000,200,200,2000,6,1.50894E+12,3
23ff9bbe,confidence,maxdiv,2000,400,2000,400,2000,7,1.50894E+12,2
3fef9c07,confidence,max,400,200,400,200,400,5,1.50894E+12,1
cbaf9d33,confidence,maxdiv,2000,200,200,200,2000,5,1.50894E+12,3
9ccf9bfc,confidence,random,400,200,200,200,400,6,1.50894E+12,1
9ccf9bfc,confidence,maxdiv,400,200,200,200,400,4,1.50894E+12,1
cbaf9d33,confidence,random,400,2000,400,400,2000,4,1.50894E+12,2
9ccf9bfc,confidence,maxdiv,2000,200,2000,200,2000,6,1.50894E+12,3
cbaf9d33,confidence,random,2000,200,200,200,2000,6,1.50894E+12,3
cbaf9d33,confidence,max,2000,400,400,400,2000,6,1.50894E+12,2
9ccf9bfc,confidence,maxdiv,2000,400,400,400,2000,4,1.50894E+12,2
9ccf9bfc,confidence,max,400,2000,2000,400,2000,6,1.50894E+12,2
cbaf9d33,confidence,max,400,200,200,200,400,5,1.50894E+12,1
cbaf9d33,confidence,maxdiv,2000,400,400,400,2000,5,1.50894E+12,2
cbaf9d33,confidence,random,400,200,400,200,400,4,1.50894E+12,1
cbaf9d33,confidence,max,200,2000,200,200,2000,5,1.50894E+12,3
66af9f72,confidence,max,200,2000,200,200,2000,6,1.50894E+12,3
66af9f72,confidence,maxdiv,2000,200,2000,200,2000,6,1.50894E+12,3
66af9f72,confidence,random,200,400,400,200,400,5,1.50894E+12,1
66af9f72,confidence,maxdiv,400,200,400,200,400,5,1.50894E+12,1
66af9f72,confidence,maxdiv,2000,400,2000,400,2000,4,1.50894E+12,2
66af9f72,confidence,random,2000,400,400,400,2000,4,1.50894E+12,2
66af9f72,confidence,max,400,200,200,200,400,6,1.50894E+12,1
66af9f72,confidence,random,200,2000,2000,200,2000,6,1.50894E+12,3
66af9f72,confidence,max,400,2000,400,400,2000,5,1.50894E+12,2
bacfa6e2,confidence,maxdiv,200,2000,2000,200,2000,6,1.50894E+12,3
bacfa6e2,confidence,random,400,2000,400,400,2000,5,1.50894E+12,2
bacfa6e2,confidence,max,200,400,200,200,400,5,1.50894E+12,1
bacfa6e2,confidence,max,400,2000,2000,400,2000,6,1.50894E+12,2
bacfa6e2,confidence,random,2000,200,2000,200,2000,5,1.50894E+12,3
bacfa6e2,confidence,maxdiv,400,200,400,200,400,4,1.50894E+12,1
bacfa6e2,confidence,maxdiv,2000,400,2000,400,2000,7,1.50894E+12,2
bacfa6e2,confidence,max,200,2000,2000,200,2000,4,1.50894E+12,3
bacfa6e2,confidence,random,200,400,400,200,400,5,1.50894E+12,1
