userid,key,agent,summary1,summary2,value,time,prefMax,comparison
81a3fb25,preference,2000,max,maxdiv,3,1.50818E+12,5,vsMaxDiv
81a3fb25,preference,400,max,random,3,1.50818E+12,5,vsRandom
82d3ff1d,preference,2000,random,max,7,1.50818E+12,7,vsRandom
82d3ff1d,preference,400,random,max,7,1.50818E+12,7,vsRandom
81a3fb25,preference,2000,max,random,2,1.50818E+12,6,vsRandom
82d3ff1d,preference,400,max,maxdiv,7,1.50818E+12,1,vsMaxDiv
81a3fb25,preference,400,maxdiv,max,5,1.50818E+12,5,vsMaxDiv
82d3ff1d,preference,2000,max,maxdiv,7,1.50818E+12,1,vsMaxDiv
8ba3fb7b,preference,2000,maxdiv,max,3,1.50818E+12,3,vsMaxDiv
b1c3fd1f,preference,400,maxdiv,max,3,1.50818E+12,3,vsMaxDiv
8ba3fb7b,preference,400,maxdiv,max,3,1.50818E+12,3,vsMaxDiv
b1c3fd1f,preference,2000,max,random,2,1.50818E+12,6,vsRandom
fab400c5,preference,400,random,max,7,1.50818E+12,7,vsRandom
31a4008b,preference,2000,maxdiv,max,7,1.50818E+12,7,vsMaxDiv
fab400c5,preference,2000,max,random,4,1.50818E+12,4,vsRandom
41b40082,preference,2000,random,max,5,1.50818E+12,5,vsRandom
b1c3fd1f,preference,400,random,max,4,1.50818E+12,4,vsRandom
31a4008b,preference,2000,random,max,7,1.50818E+12,7,vsRandom
fab400c5,preference,400,max,maxdiv,1,1.50818E+12,7,vsMaxDiv
25e400f5,preference,400,max,random,5,1.50818E+12,3,vsRandom
fab400c5,preference,2000,maxdiv,max,1,1.50818E+12,1,vsMaxDiv
25e400f5,preference,2000,max,random,1,1.50818E+12,7,vsRandom
41b40082,preference,2000,maxdiv,max,3,1.50818E+12,3,vsMaxDiv
8ba3fb7b,preference,2000,max,random,4,1.50818E+12,4,vsRandom
b1c3fd1f,preference,2000,max,maxdiv,4,1.50818E+12,4,vsMaxDiv
31a4008b,preference,400,random,max,1,1.50818E+12,1,vsRandom
25e400f5,preference,400,maxdiv,max,2,1.50818E+12,2,vsMaxDiv
41b40082,preference,400,max,random,6,1.50818E+12,2,vsRandom
31a4008b,preference,400,max,maxdiv,7,1.50818E+12,1,vsMaxDiv
25e400f5,preference,2000,maxdiv,max,4,1.50818E+12,4,vsMaxDiv
41b40082,preference,400,maxdiv,max,4,1.50818E+12,4,vsMaxDiv
8ba3fb7b,preference,400,max,random,2,1.50818E+12,6,vsRandom
50a40474,preference,2000,random,max,5,1.50818E+12,5,vsRandom
50a40474,preference,2000,max,maxdiv,7,1.50818E+12,1,vsMaxDiv
50a40474,preference,400,max,random,2,1.50818E+12,6,vsRandom
50a40474,preference,400,maxdiv,max,4,1.50818E+12,4,vsMaxDiv
cdd404e4,preference,400,max,random,2,1.50818E+12,6,vsRandom
cdd404e4,preference,2000,max,maxdiv,6,1.50818E+12,2,vsMaxDiv
cdd404e4,preference,2000,max,random,6,1.50818E+12,2,vsRandom
cdd404e4,preference,400,max,maxdiv,2,1.50818E+12,6,vsMaxDiv
3de40617,preference,2000,random,max,7,1.50818E+12,7,vsRandom
3de40617,preference,400,random,max,5,1.50818E+12,5,vsRandom
3de40617,preference,2000,max,maxdiv,5,1.50818E+12,3,vsMaxDiv
3de40617,preference,400,max,maxdiv,5,1.50818E+12,3,vsMaxDiv
b2a40232,preference,2000,max,maxdiv,4,1.50818E+12,4,vsMaxDiv
b2a40232,preference,2000,random,max,6,1.50818E+12,6,vsRandom
8ba40679,preference,2000,max,maxdiv,5,1.50818E+12,3,vsMaxDiv
b2a40232,preference,400,max,random,2,1.50818E+12,6,vsRandom
32d4068d,preference,400,max,maxdiv,4,1.50818E+12,4,vsMaxDiv
2ee4067a,preference,2000,max,random,2,1.50818E+12,6,vsRandom
b2a40232,preference,400,max,maxdiv,6,1.50818E+12,2,vsMaxDiv
32d4068d,preference,2000,maxdiv,max,4,1.50818E+12,4,vsMaxDiv
8ba40679,preference,400,max,random,3,1.50818E+12,5,vsRandom
32d4068d,preference,400,max,random,2,1.50818E+12,6,vsRandom
2ee4067a,preference,400,max,maxdiv,1,1.50818E+12,7,vsMaxDiv
8ba40679,preference,400,maxdiv,max,2,1.50818E+12,2,vsMaxDiv
32d4068d,preference,2000,max,random,2,1.50818E+12,6,vsRandom
8ba40679,preference,2000,random,max,5,1.50818E+12,5,vsRandom
2ee4067a,preference,400,random,max,7,1.50818E+12,7,vsRandom
e9af994f,preference,2000,max,random,1,1.50894E+12,,vsRandom
e9af994f,preference,400,max,maxdiv,7,1.50894E+12,,vsMaxDiv
e9af994f,preference,2000,maxdiv,max,1,1.50894E+12,,vsMaxDiv
e9af994f,preference,400,random,max,1,1.50894E+12,,vsRandom
58cf9b86,preference,2000,maxdiv,max,5,1.50894E+12,,vsMaxDiv
48cf9b18,preference,400,max,random,4,1.50894E+12,,vsRandom
58cf9b86,preference,400,maxdiv,max,3,1.50894E+12,,vsMaxDiv
48cf9b18,preference,2000,random,max,2,1.50894E+12,,vsRandom
58cf9b86,preference,2000,max,random,4,1.50894E+12,,vsRandom
58cf9b86,preference,400,max,random,3,1.50894E+12,,vsRandom
48cf9b18,preference,2000,max,maxdiv,7,1.50894E+12,,vsMaxDiv
48cf9b18,preference,400,maxdiv,max,7,1.50894E+12,,vsMaxDiv
20df9ba1,preference,2000,max,maxdiv,5,1.50894E+12,,vsMaxDiv
23ff9bbe,preference,400,max,random,1,1.50894E+12,,vsRandom
20df9ba1,preference,400,random,max,2,1.50894E+12,,vsRandom
3fef9c07,preference,400,max,random,1,1.50894E+12,,vsRandom
3fef9c07,preference,2000,random,max,7,1.50894E+12,,vsRandom
23ff9bbe,preference,400,max,maxdiv,7,1.50894E+12,,vsMaxDiv
20df9ba1,preference,2000,random,max,6,1.50894E+12,,vsRandom
3fef9c07,preference,400,max,maxdiv,4,1.50894E+12,,vsMaxDiv
23ff9bbe,preference,2000,max,random,1,1.50894E+12,,vsRandom
20df9ba1,preference,400,maxdiv,max,2,1.50894E+12,,vsMaxDiv
23ff9bbe,preference,2000,max,maxdiv,7,1.50894E+12,,vsMaxDiv
3fef9c07,preference,2000,maxdiv,max,7,1.50894E+12,,vsMaxDiv
cbaf9d33,preference,2000,random,max,6,1.50894E+12,,vsRandom
9ccf9bfc,preference,400,max,random,3,1.50894E+12,,vsRandom
9ccf9bfc,preference,400,max,maxdiv,6,1.50894E+12,,vsMaxDiv
cbaf9d33,preference,400,max,random,2,1.50894E+12,,vsRandom
9ccf9bfc,preference,2000,maxdiv,max,5,1.50894E+12,,vsMaxDiv
cbaf9d33,preference,2000,max,maxdiv,4,1.50894E+12,,vsMaxDiv
9ccf9bfc,preference,2000,random,max,4,1.50894E+12,,vsRandom
cbaf9d33,preference,400,maxdiv,max,4,1.50894E+12,,vsMaxDiv
66af9f72,preference,2000,max,random,5,1.50894E+12,,vsRandom
66af9f72,preference,400,max,maxdiv,2,1.50894E+12,,vsMaxDiv
66af9f72,preference,2000,max,maxdiv,5,1.50894E+12,,vsMaxDiv
66af9f72,preference,400,random,max,6,1.50894E+12,,vsRandom
bacfa6e2,preference,400,random,max,3,1.50894E+12,,vsRandom
bacfa6e2,preference,400,max,maxdiv,6,1.50894E+12,,vsMaxDiv
bacfa6e2,preference,2000,max,maxdiv,4,1.50894E+12,,vsMaxDiv
bacfa6e2,preference,2000,random,max,7,1.50894E+12,,vsRandom
