userid,key,agent,summary1,summary2,value,time,valueNormalized,comparisonType
2fd961e4,preference,2000,max,random,7,1.50755E+12,1,vsRand
d7e960ad,preference,200,first,max,7,1.50755E+12,7,vsFirst
2fd961e4,preference,200,random,max,1,1.50755E+12,1,vsRand
d7e960ad,preference,2000,max,random,2,1.50755E+12,6,vsRand
d7e960ad,preference,200,random,max,4,1.50755E+12,4,vsRand
d7e960ad,preference,2000,first,max,6,1.50755E+12,6,vsFirst
77b96386,preference,200,random,max,6,1.50755E+12,6,vsRand
77b96386,preference,2000,max,first,6,1.50755E+12,2,vsFirst
77b96386,preference,2000,max,random,6,1.50755E+12,2,vsRand
77b96386,preference,200,first,max,2,1.50755E+12,2,vsFirst
47f962d0,preference,2000,max,first,1,1.50755E+12,7,vsFirst
47f962d0,preference,2000,max,random,2,1.50755E+12,6,vsRand
47f962d0,preference,200,random,max,6,1.50755E+12,6,vsRand
47f962d0,preference,200,first,max,6,1.50755E+12,6,vsFirst
7ab96623,preference,200,random,max,7,1.50755E+12,7,vsRand
7ab96623,preference,2000,first,max,7,1.50755E+12,7,vsFirst
7ab96623,preference,2000,max,random,7,1.50755E+12,1,vsRand
98f9670b,preference,2000,max,random,2,1.50755E+12,6,vsRand
7ab96623,preference,200,max,first,1,1.50755E+12,7,vsFirst
98f9670b,preference,200,first,max,1,1.50755E+12,1,vsFirst
e5f96958,preference,200,first,max,5,1.50755E+12,5,vsFirst
98f9670b,preference,200,random,max,2,1.50755E+12,2,vsRand
e5f96958,preference,2000,max,random,2,1.50755E+12,6,vsRand
98f9670b,preference,2000,first,max,6,1.50755E+12,6,vsFirst
e5f96958,preference,2000,first,max,5,1.50755E+12,5,vsFirst
e5f96958,preference,200,max,random,3,1.50755E+12,5,vsRand
1cd9645b,preference,200,first,max,1,1.50755E+12,1,vsFirst
17a96a1b,preference,2000,max,first,1,1.50755E+12,7,vsFirst
20e96be4,preference,200,first,max,6,1.50755E+12,6,vsFirst
20e96be4,preference,2000,max,first,2,1.50755E+12,6,vsFirst
17a96a1b,preference,2000,max,random,1,1.50755E+12,7,vsRand
20e96be4,preference,2000,random,max,5,1.50755E+12,5,vsRand
8bc969c1,preference,200,max,first,6,1.50755E+12,2,vsFirst
20e96be4,preference,200,max,random,4,1.50755E+12,4,vsRand
1cd9645b,preference,2000,first,max,7,1.50755E+12,7,vsFirst
8bc969c1,preference,2000,max,random,2,1.50755E+12,6,vsRand
17a96a1b,preference,200,random,max,4,1.50755E+12,4,vsRand
