userid,key,summary,agent1,agent2,selection,value,time,worseAgent,betterAgent,comparisonType
9be29b07,confidence,first,400,200,200,7,1.50809E+12,200,400,1
b5b29b74,confidence,random,2000,200,2000,6,1.50809E+12,200,2000,3
1db29b40,confidence,random,400,200,200,5,1.50809E+12,200,400,1
dbc29b73,confidence,random,2000,400,2000,6,1.50809E+12,400,2000,2
9be29b07,confidence,first,200,2000,200,5,1.50809E+12,200,2000,3
abf299f0,confidence,max,2000,200,2000,5,1.50809E+12,200,2000,3
1db29b40,confidence,first,2000,400,400,5,1.50809E+12,400,2000,2
b5b29b74,confidence,random,200,400,200,7,1.50809E+12,200,400,1
9be29b07,confidence,max,200,2000,2000,6,1.50809E+12,200,2000,3
dbc29b73,confidence,first,2000,400,2000,4,1.50809E+12,400,2000,2
49a298f1,confidence,max,200,400,400,6,1.50809E+12,200,400,1
b5b29b74,confidence,first,200,400,400,6,1.50809E+12,200,400,1
e7c29d29,confidence,random,2000,200,200,4,1.50809E+12,200,2000,3
9be29b07,confidence,first,400,2000,400,5,1.50809E+12,400,2000,2
bab29c29,confidence,max,2000,200,2000,5,1.50809E+12,200,2000,3
dbc29b73,confidence,max,200,2000,2000,4,1.50809E+12,200,2000,3
e7c29d29,confidence,max,200,400,400,7,1.50809E+12,200,400,1
b5b29b74,confidence,first,400,2000,2000,5,1.50809E+12,400,2000,2
49a298f1,confidence,random,2000,200,200,7,1.50809E+12,200,2000,3
9be29b07,confidence,random,2000,400,400,5,1.50809E+12,400,2000,2
e7c29d29,confidence,random,2000,400,400,7,1.50809E+12,400,2000,2
bab29c29,confidence,first,400,200,200,5,1.50809E+12,200,400,1
e7c29d29,confidence,first,2000,400,400,7,1.50809E+12,400,2000,2
9be29b07,confidence,max,400,2000,2000,6,1.50809E+12,400,2000,2
dbc29b73,confidence,max,400,2000,400,5,1.50809E+12,400,2000,2
e7c29d29,confidence,first,400,200,0,7,1.50809E+12,200,400,1
49a298f1,confidence,first,200,2000,2000,4,1.50809E+12,200,2000,3
bab29c29,confidence,random,200,2000,2000,7,1.50809E+12,200,2000,3
e7c29d29,confidence,max,200,2000,2000,7,1.50809E+12,200,2000,3
dbc29b73,confidence,max,200,400,400,5,1.50809E+12,200,400,1
e7c29d29,confidence,random,200,400,0,5,1.50809E+12,200,400,1
e7c29d29,confidence,first,2000,200,0,7,1.50809E+12,200,2000,3
84c29e7c,confidence,random,2000,400,2000,7,1.50809E+12,400,2000,2
e7c29d29,confidence,max,2000,400,2000,7,1.50809E+12,400,2000,2
dbc29b73,confidence,first,200,2000,200,4,1.50809E+12,200,2000,3
bab29c29,confidence,first,400,2000,400,3,1.50809E+12,400,2000,2
84c29e7c,confidence,first,400,200,200,6,1.50809E+12,200,400,1
84c29e7c,confidence,max,2000,200,2000,6,1.50809E+12,200,2000,3
bab29c29,confidence,max,2000,400,400,5,1.50809E+12,400,2000,2
84c29e7c,confidence,random,400,200,400,4,1.50809E+12,200,400,1
bab29c29,confidence,random,400,2000,2000,6,1.50809E+12,400,2000,2
84c29e7c,confidence,max,400,2000,2000,5,1.50809E+12,400,2000,2
84c29e7c,confidence,max,400,200,400,4,1.50809E+12,200,400,1
